Driver Model,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12,Month 13,Month 14,Month 15,Month 16,Month 17,Month 18,Month 19,Month 20,Month 21,Month 22,Month 23,Month 24,Month 25,Month 26,Month 27,Month 28,Month 29,Month 30,Month 31,Month 32,Month 33,Month 34,Month 35,Month 36,Month 37,Month 38,Month 39,Month 40,Month 41,Month 42,Month 43,Month 44,Month 45,Month 46,Month 47,Month 48
BOP Balance,64000000.0,57000000.0,52600000.0,54800000.0,57000000.0,58000000.0,57800000.0,57600000.0,59800000.0,62000000.0,63000000.0,70000000.0,77000000.0,65703125.0,59252828.94736842,60508624.42465478,61883567.05629216,62155447.67602013,61365699.88098148,60739444.539898425,62686203.78324869,64664949.5882807,65449152.89377476,72432647.58067481,79407109.63135843,67245179.60758899,60389079.71085505,61437498.62294234,62629378.45637706,62744246.14977136,61832677.98085315,61119167.216264665,63002639.34688722,64924236.254138365,65658255.04365997,72601920.7496295,79532855.4140105,67325735.49960047,60448436.68391614,61486022.38418999,62668339.140590504,62775004.58467671,61857072.60164015,61139003.67261396,63019169.727178305,64937781.21457754,65669178.398852855,72610763.46573803
Internal Sales,12500000.0,8000000.0,9000000.0,10000000.0,10000000.0,9000000.0,8000000.0,9000000.0,10000000.0,10000000.0,15000000.0,20000000.0,12500000.0,8000000.0,9000000.0,10000000.0,10000000.0,9000000.0,8000000.0,9000000.0,10000000.0,10000000.0,15000000.0,20000000.0,12500000.0,8000000.0,9000000.0,10000000.0,10000000.0,9000000.0,8000000.0,9000000.0,10000000.0,10000000.0,15000000.0,20000000.0,12500000.0,8000000.0,9000000.0,10000000.0,10000000.0,9000000.0,8000000.0,9000000.0,10000000.0,10000000.0,15000000.0,20000000.0
External Sales,2500000.0,1600000.0,1800000.0,2000000.0,2000000.0,1800000.0,1600000.0,1800000.0,2000000.0,2000000.0,3000000.0,4000000.0,2875000.0,1839999.9999999998,2069999.9999999998,2300000.0,2300000.0,2069999.9999999998,1839999.9999999998,2069999.9999999998,2300000.0,2300000.0,3449999.9999999995,4600000.0,2875000.0,1839999.9999999998,2069999.9999999998,2300000.0,2300000.0,2069999.9999999998,1839999.9999999998,2069999.9999999998,2300000.0,2300000.0,3449999.9999999995,4600000.0,2875000.0,1839999.9999999998,2069999.9999999998,2300000.0,2300000.0,2069999.9999999998,1839999.9999999998,2069999.9999999998,2300000.0,2300000.0,3449999.9999999995,4600000.0
Payments,23000000.0,15000000.0,9600000.0,10800000.0,12000000.0,12000000.0,10800000.0,9600000.0,10800000.0,12000000.0,12000000.0,18000000.0,27671875.0,17290296.05263158,10814204.522713628,11925057.368362622,13028119.380272033,12859747.795038648,11466255.341083046,10123240.756649736,11321254.19496799,12515796.694505941,12466505.313099954,18625537.94931638,28536930.023769435,17696099.896733943,11021581.087912709,12108120.16656528,13185132.306605697,12981568.168918213,11553510.764588477,10186527.869377444,11378403.092748862,12565981.210478393,12506334.294030469,18669065.33561901,28582119.91441002,17717298.815684333,11032414.29972614,12117683.243599487,13193334.55591379,12987931.983036561,11558068.929026188,10189833.94543566,11381388.512600763,12568602.815724686,12508414.933114829,18671339.176904064
Other Fees,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
Floating APR Rate,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
Fixed APR Rate,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
Promo APR Rate,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
BOP Accounts,200000.0,200200.0,200400.0,200600.0,200800.0,201000.0,201200.0,201400.0,201600.0,201800.0,202000.0,202200.0,202400.0,202613.25,202826.45664335665,203039.62018969055,203252.74089681043,203465.81902072753,203678.8548156699,203891.84853409667,204104.800426712,204317.71074247902,204530.57972863372,204743.40763069855,204956.19469249598,205159.219913726,205362.2528511337,205565.2934585144,205768.34168998594,205971.397499986,206174.46084326963,206377.53167490673,206580.6099502795,206783.69562507997,206986.7886553076,207189.8889972668,207392.99660756445,207586.2746211342,207779.60903823256,207972.99952111387,208166.4457343896,208359.94734500957,208553.50402224337,208747.1154376619,208940.78126511906,209134.50118073367,209328.2748628715,209522.10199212746
New Accounts,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1022.85,1022.85,1022.85,1022.85,1022.85,1022.85,1022.85,1022.85,1022.85,1022.85,1022.85,1022.85,1022.85,1022.85,1022.85,1022.85,1022.85,1022.85,1022.85,1022.85,1022.85,1022.85,1022.85,1022.85,1022.85,1022.85,1022.85,1022.85,1022.85,1022.85,1022.85,1022.85,1022.85,1022.85,1022.85,1022.85
